Zodiac,Profession
gemini,Terrorism
gemini,Politician
gemini,Preacher
taurus,Civil service
taurus,Prosecutor
taurus,Teacher
taurus,Lawyer
sagittarius,Agriculture
sagittarius,Businessperson
virgo,Politician
virgo,Islamic religious leaders
capricorn,Lawyer
virgo,Professor
gemini,Lawyer
gemini,Politician
capricorn,Psychiatry
leo,Engineer
capricorn,Politician
virgo,Social work
sagittarius,Indian Army
sagittarius,Journalist
sagittarius,Social reformers of India
scorpio,Social work
pisces,Politician
pisces,Businessperson
pisces,Politician
pisces,Senior Counsel
aries,Businessperson
leo,Pastor
sagittarius,Engineer
sagittarius,Politician
sagittarius,Bank
aquarius,Physician
aquarius,Surgeon
aries,Politician
aries,Ulama
aries,Engineer
scorpio,Lawyer
scorpio,Politician
scorpio,Farmer
scorpio,Bank
aquarius,Lawyer
leo,Surgeon
pisces,Lawyer
taurus,Legislator
capricorn,Editor-in-chief
aquarius,Politician
sagittarius,Lawyer
aquarius,Civil service
capricorn,Politics
capricorn,Social work
aries,Army
aquarius,Civil service
gemini,Politician
gemini,Entrepreneurship
sagittarius,Agriculture
leo,Politician
pisces,Politician
cancer,Lawyer
cancer,Politician
pisces,Academician
pisces,Archaeology
leo,Military
aquarius,Lawyer
aquarius,Politician
taurus,Economist
virgo,Political science
virgo,Sociology
capricorn,Politician
virgo,Politician
virgo,Attorney at law
virgo,Economist
cancer,Economist
virgo,Lawyer
virgo,Politician
virgo,Teacher
gemini,Registered nurse
virgo,Lawyer
cancer,Writer
cancer,Teacher
cancer,Activism
scorpio,Military
aries,Politician
aquarius,Magistrate
libra,Agriculture
libra,Politician
taurus,Accountant
taurus,Bank
aries,Reform movement
cancer,Businessperson
aquarius,Meteorology
aquarius,Author
aquarius,Lawyer
aquarius,Diplomat
aquarius,Teacher
sagittarius,Teacher
sagittarius,Physician
leo,Lawyer
aries,Engineering
aries,Lawyer
aries,Real estate
libra,Politician
libra,Media proprietor
pisces,Lawyer
sagittarius,Lawyer
cancer,Lawyer
taurus,Politician
gemini,Journalist
gemini,Politician
virgo,Lawyer
virgo,Professor
aquarius,Journalism
libra,Agronomy
gemini,Judge
leo,Teacher
aquarius,Diplomat
sagittarius,Politician
aries,Lawyer
scorpio,Mining engineering
leo,Lawyer
scorpio,Economist
libra,Journalist
libra,Diplomat
virgo,Soldier
pisces,Military
aquarius,Politician
aquarius,Diplomat
libra,Civil engineer
taurus,Public Policy and Administration
pisces,Politician
pisces,Ulama
aquarius,Lawyer
aquarius,Economist
gemini,Soldier
gemini,Civil service
gemini,Businessperson
pisces,Mathematician
capricorn,Businessperson
leo,Central Superior Services of Pakistan
pisces,Lawyer
aquarius,Politician
aquarius,Prosecutor
aquarius,Barrister
aquarius,Soldier
libra,Barrister
libra,Farmer
libra,Politician
capricorn,Businessperson
capricorn,Lawyer
libra,Politician
sagittarius,Engineer
sagittarius,Politician
cancer,Tumandar
virgo,Clergy
libra,Teacher
gemini,Soldier
libra,Attorneys in the United States
scorpio,General contractor
virgo,Businessperson
taurus,Soldier
libra,Teacher
libra,Old age
libra,Legislator
pisces,Statistician
pisces,Urban planner
scorpio,Lawyer
capricorn,Journalist
taurus,Economist
scorpio,Lawyer
cancer,Civil engineer
leo,Diplomat
leo,Academic administration
leo,Pundit
leo,American football
leo,Judge
leo,Attorneys in the United States
virgo,Faculty of Advocates
cancer,Politician
cancer,Investment banking
virgo,General practitioner
taurus,Teacher
taurus,Programmer
virgo,Faculty of Advocates
capricorn,Trade union
capricorn,Lawyer
capricorn,Engineer
capricorn,Politician
capricorn,Consultant
aries,Lawyer
leo,Politician
leo,Lawyer
capricorn,Politician
capricorn,Social work
aquarius,Farmer
aries,Indian Police Service
aries,Teacher
virgo,Politician
virgo,Businessperson
virgo,Lawyer
aries,IBM
libra,Politician
libra,Teacher
gemini,Politician
aquarius,Choir
libra,Professor
capricorn,Lawyer
taurus,Lawyer
capricorn,Jurist
virgo,Attorney at law
gemini,Physician
gemini,Plantations in the American South
aries,Politician
aries,Accountant
virgo,Lawyer
virgo,Entomology
pisces,Businessperson
pisces,Lawyer
cancer,Businessperson
cancer,Humanitarianism
cancer,Activism
cancer,Public speaking
cancer,Member of Congress
aquarius,Law
sagittarius,Teacher
gemini,Chartered accountant
leo,Academia
pisces,Attorneys in the United States
capricorn,Pediatrics
capricorn,Civil engineering
aries,Politician
leo,Engineering
leo,Politician
capricorn,Physician
capricorn,Scientist
capricorn,Academic administration
taurus,Education
taurus,Professor
taurus,Social work
taurus,Member of parliament
virgo,Lawyer
virgo,Jurist
taurus,Magna International
aquarius,Lawyer
aries,Lobbying
aries,Politician
aries,Real estate
leo,Attorneys in the United States
pisces,Lawyer
taurus,Lawyer
leo,Certified Public Accountant
taurus,Officer (armed forces)
taurus,Lawyer
libra,Merchant
taurus,Politician
virgo,Teacher
virgo,Politician
gemini,Politician
leo,Politician
leo,Economist
aries,Pediatrics
aries,Politician
sagittarius,Ranch
capricorn,Lawyer
sagittarius,Lawyer
capricorn,Physician
gemini,Lawyer
gemini,Politician
libra,Lawyer
libra,Politician
capricorn,Merchant
capricorn,Politician
libra,Lawyer
libra,Politician
libra,Teacher
pisces,Attorneys in the United States
taurus,Politician
sagittarius,Lawyer
aquarius,Politician
pisces,Lawyer
pisces,Politician
taurus,Politician
taurus,Publishing
taurus,Minister (Christianity)
gemini,Lawyer
gemini,Politician
pisces,Lawyer
leo,Lawyer
virgo,Politician
aries,Lawyer
scorpio,Lawyer
pisces,Lawyer
aries,Politician
aries,Civil engineer
leo,Howard University
capricorn,Lawyer
scorpio,Journalist
scorpio,Diplomat
libra,Management consulting
gemini,Railroad engineer
pisces,Tobacco
scorpio,Merchant
scorpio,Politician
aries,Lawyer
aries,Politician
aries,Farmer
aries,Bank
sagittarius,Business
scorpio,Lawyer
scorpio,Judge
scorpio,Politician
cancer,Attorneys in the United States
sagittarius,Soldier
cancer,Author
cancer,Psychiatrist
cancer,Lecturer
cancer,Merchant
leo,Jurist
leo,Diplomat
scorpio,Hairdresser
scorpio,Businessperson
pisces,Pharmacist
taurus,Composer
leo,Insurance
pisces,Businessperson
aries,Political science
aries,Politician
aries,Spokesperson
capricorn,Agriculture
taurus,School counselor
gemini,Lawyer
libra,Barrister
libra,Solicitor
libra,Physician
taurus,Entrepreneurship
pisces,Lawyer
pisces,Professor
pisces,Engineer
