Zodiac,Profession
scorpio,Lawyer
taurus,Lawyer
taurus,Politician
taurus,Diplomat
gemini,Politician
pisces,Lawyer
pisces,Judge
pisces,Politician
pisces,Bank
taurus,Lawyer
taurus,Politician
virgo,Lawyer
gemini,Lawyer
gemini,Lawyer
leo,Dentistry
capricorn,Attorney at law
virgo,General contractor
cancer,Attorneys in the United States
capricorn,Politician
libra,Physician
leo,Lawyer
leo,Lobbying
pisces,Politician
pisces,History of slavery
pisces,Sea captain
sagittarius,Governor
aries,Lawyer
gemini,Diplomacy
gemini,Diplomatic rank
aquarius,Faculty of Advocates
virgo,Merchant bank
sagittarius,Professor
libra,Politician
cancer,Farmer
pisces,Logging
pisces,Lawyer
pisces,Lobbying in the United States
sagittarius,Cotton
libra,Lawyer
libra,Politician
libra,Plantations in the American South
leo,Soldier
leo,Politician
gemini,Lawyer
libra,Bank
libra,Ranch
sagittarius,Lawyer
sagittarius,Judge
sagittarius,Politician
pisces,Psychologist
virgo,Politician
virgo,Manufacturing
libra,Lawyer
sagittarius,Teacher
gemini,Politician
libra,Merchant
libra,Lawyer
libra,Judge
libra,Politician
libra,Minister (Christianity)
aquarius,Politician
aquarius,Investment banking
scorpio,Lawyer
aquarius,Politics
sagittarius,Chemist
capricorn,Professor
sagittarius,Farmer
sagittarius,Teacher
capricorn,Minister (Christianity)
virgo,Lawyer
virgo,Politician
capricorn,Academia
taurus,Barrister
taurus,Engineer
sagittarius,Lawyer
sagittarius,Politician
aquarius,Lawyer
aquarius,Politician
libra,Politician
libra,Coaldale Big Green
capricorn,Public relations
cancer,Businessperson
leo,Attorneys in the United States
capricorn,Lawyer
gemini,Carpentry
taurus,Surgeon
taurus,Professor
libra,Forester
virgo,Politician
taurus,University of Warwick
taurus,Lawyer
libra,Lawyer
aquarius,Episcopal Diocese of Tennessee
capricorn,Philanthropy
sagittarius,Neurosurgery
pisces,Diplomacy
leo,Soldier
leo,Politician
aries,Engineer
aries,Academia
cancer,Physician
scorpio,Lawyer
scorpio,Plantations in the American South
sagittarius,Lawyer
sagittarius,United States Marine Corps
sagittarius,Diplomat
libra,Politician
libra,Professor
capricorn,Pastor
pisces,Businessperson
cancer,Lawyer
taurus,Business
libra,Economics
libra,History
virgo,Surveying
virgo,Civil engineer
sagittarius,Politician
pisces,Musician
pisces,Teacher
pisces,Academic administration
leo,Jurist
leo,Politician
virgo,Cardiothoracic surgery
libra,Politician
libra,Diplomat
libra,Academician
taurus,Economist
pisces,Trade union
pisces,Politician
pisces,Advocate
pisces,Lecturer
pisces,Professor
capricorn,Sociology
taurus,Warrior
aries,Agriculture
aries,Politician
aries,Teacher
aries,Social work
aries,Trader
aries,Jurist
sagittarius,Health professional
cancer,Lecturer
scorpio,Businessperson
cancer,Teacher
aquarius,Social work
aquarius,Politician
leo,Indian independence movement
leo,Revolutionary
capricorn,Lawyer
capricorn,Advocate
aquarius,Social work
taurus,Professor
virgo,Agriculture
virgo,Businessperson
pisces,Social work
taurus,Economist
leo,Politician
leo,Businessperson
libra,Political science
cancer,Agricultural economics
capricorn,Politics of the United States
capricorn,Admiral
aries,Politician
aries,Diplomat
aries,Professor
pisces,Politician
pisces,Social work
pisces,Advocate
leo,Lawyer
virgo,Electrical engineering
virgo,Member of parliament
scorpio,Attorneys in the United States
scorpio,Lawyer
libra,Director of communications
libra,Former_Journalist
pisces,Businessperson
pisces,
sagittarius,Attorneys in the United States
gemini,Politician
libra,Theology
libra,Lawyer
leo,Physician
virgo,Lawyer
libra,Jurist
virgo,Teacher
virgo,Business manager
virgo,Nazism
pisces,Physician
scorpio,Lawyer
aquarius,Lawyer
aries,Population Services International
pisces,Paralegal
pisces,Legislator
pisces,Union organizer
aries,Midwifery
scorpio,Teacher
capricorn,Shopkeeper
libra,Businessperson
aries,Economist
aries,Lecturer
gemini,Teacher
aries,Lawyer
aries,Politician
aquarius,Politician
aquarius,Mechanical engineering
taurus,Jurist
taurus,Politician
cancer,Businessperson
cancer,Teacher
taurus,Teacher
taurus,Legislator
cancer,Politician
cancer,Attorney at law
libra,Lawyer
libra,Politician
cancer,Lawyer
cancer,Politician
cancer,Prosecutor
capricorn,Librarian
leo,Businessperson
sagittarius,Economics
sagittarius,Public policy
aquarius,Teacher
scorpio,Teacher
scorpio,Attorneys in the United States
aries,Lobbying
aries,Legislator
aries,Business consultant
cancer,Teacher
sagittarius,Housewife
sagittarius,Attorneys in the United States
taurus,Theology
taurus,Politician
scorpio,Real estate broker
scorpio,Tax preparation
capricorn,General officer
cancer,Politician
cancer,Bureaucrat
aries,Television presenter
libra,Trade union
libra,Teacher
capricorn,Teacher
sagittarius,Physicist
aries,Lawyer
aquarius,Admiral
gemini,Lawyer
sagittarius,Intelligence officer
virgo,Neurosurgery
virgo,Lawyer
taurus,Teacher
taurus,Lecturer
capricorn,Business
aries,Consortium of Universities for Global Health
taurus,Lumberjack
cancer,Politician
sagittarius,Historian
sagittarius,Lawyer
sagittarius,Politician
sagittarius,Teacher
scorpio,Real estate development
virgo,Politician
scorpio,Teacher
scorpio,Farmer
scorpio,Real estate
sagittarius,Economist
taurus,Politician
leo,Farmer
leo,Entrepreneurship
leo,Auto mechanic
leo,Lawyer
leo,Businessperson
leo,Political consulting
leo,Politician
leo,Businessperson
aries,Civil engineer
taurus,Academia
scorpio,United States Navy
scorpio,Farmer
cancer,Lawyer
libra,Lawyer
leo,Government
libra,Teacher
libra,Funeral director
leo,Lawyer
leo,Politician
virgo,Diplomat
aquarius,Social work
scorpio,Lawyer
scorpio,Judge
gemini,Diplomat
capricorn,Orthopedic surgery
aquarius,Lawyer
capricorn,Intelligence officer
leo,Police officer
cancer,Faculty of Advocates
scorpio,Teacher
scorpio,Academic administration
capricorn,Business
capricorn,Diplomat
capricorn,Professor
cancer,Campbellsville University
cancer,Teacher
scorpio,Lawyer
scorpio,Politician
aquarius,Advertising
aquarius,Music
virgo,Politician
virgo,Businessperson
virgo,Professor
taurus,Solicitor
sagittarius,Teacher
sagittarius,Legislator
sagittarius,Lawyer
cancer,Farmer
virgo,Dentist
virgo,Management
scorpio,Legislator
scorpio,Case management (USA health system)
leo,Domestic violence
scorpio,Radiation therapy
cancer,Politician
cancer,Social work
sagittarius,Teacher
libra,Businessperson
taurus,Teacher
aquarius,Teacher
aquarius,Energy_Development_Officer
aries,Lawyer
aries,Professor
aries,Academic administration
leo,Lawyer
leo,Academia
pisces,Pharmacist
capricorn,Society of Jesus
capricorn,Lawyer
capricorn,Jurist
taurus,Officer (armed forces)
taurus,Civil service
pisces,Lawyer
sagittarius,Politician
virgo,Consultant
libra,Azusa Pacific University
capricorn,Lawyer
virgo,Lawyer
taurus,Engineer
taurus,Accountant
scorpio,Journalist
scorpio,Politician
sagittarius,Economist
virgo,Politician
virgo,Economist
scorpio,Physician
scorpio,Politician
scorpio,Social work
gemini,Attorneys in the United States
virgo,Academia
virgo,Academic administration
pisces,Lawyer
taurus,Diplomat
aries,Journalist
scorpio,Agriculture
scorpio,Education
scorpio,Journalist
scorpio,Politician
aries,Eternal President of the Republic
libra,Economics
libra,Academia
libra,Academic administration
aries,Diplomat
libra,Accounting
libra,Politician
taurus,Paralegal
capricorn,Politician
leo,Lawyer
gemini,Academia
gemini,Activism
gemini,Academic administration
scorpio,Psychiatrist
scorpio,Politician
scorpio,Obstetrics and gynaecology
leo,Politician
libra,Social work
libra,Professor
taurus,Politician
taurus,Social work
aries,Businessperson
aries,Entrepreneurship
gemini,Politician
gemini,Health professional
gemini,Surgeon
aries,Businessperson
scorpio,Health geography
aquarius,Lawyer
gemini,Lawyer
leo,Politician
leo,Economist
cancer,Politician
gemini,Officer (armed forces)
gemini,Sea captain
virgo,Clergy
cancer,Lawyer
cancer,Lecturer
sagittarius,Editor-in-chief
sagittarius,Cabinetry
sagittarius,Siviløkonom
aries,Architect
libra,Barrister
aquarius,Ambassador
gemini,Lawyer
cancer,Academia
cancer,Sukhothai Thammathirat Open University
taurus,Bank teller
aquarius,Physician
capricorn,Geologist
leo,Lawyer
aquarius,Physician
aquarius,Syndicalism
taurus,Journalist
taurus,Diplomat
libra,Lawyer
virgo,Forensic_sceinentist
sagittarius,Economics
pisces,Author
pisces,Politician
pisces,Investment banking
pisces,Politician
cancer,Marketing
cancer,Civil service
aries,Warrior
pisces,Lawyer
capricorn,Politician
capricorn,Businessperson
aries,Historian
aries,Politician
aquarius,Lawyer
aquarius,Politician
virgo,Teacher
taurus,Jurist
aquarius,Celebrity
pisces,Scientist
capricorn,Education
virgo,Businessperson
sagittarius,General contractor
pisces,Advocate
virgo,Politician
sagittarius,Mechanical engineering
leo,Sociology
gemini,Unlicensed assistive personnel
sagittarius,Curator
gemini,Political science
cancer,Politician
cancer,Workforce
libra,Teacher
capricorn,Professor
sagittarius,Political science
sagittarius,Physician
aries,General officer
pisces,Farmer
pisces,Teacher
pisces,Social work
aquarius,Politician
aquarius,Accountant
gemini,Attorneys in the United States
capricorn,Politician
scorpio,Printer (publishing)
sagittarius,Lawyer
sagittarius,Professor
capricorn,Lawyer
capricorn,Diplomat
leo,Lawyer
cancer,Physician
libra,Attorneys in the United States
capricorn,Anesthesiologist
cancer,Jurist
cancer,Politician
scorpio,Politician
scorpio,Jurist
scorpio,Politician
libra,Engineer
libra,Politician
taurus,Politician
taurus,Teacher
libra,Politician
taurus,Politician
taurus,Economist
taurus,Politician
pisces,Chemical engineer
pisces,Carpentry
aquarius,Education
aquarius,Advocate
cancer,Author
cancer,Professor
capricorn,Nationalism
capricorn,Resistance movement
capricorn,Activism
taurus,Lawyer
capricorn,Politician
scorpio,Advocate
aries,Politician
aries,Chartered accountant
virgo,Politician
taurus,Westinghouse Electric (1886)
taurus,Author
taurus,Sports equipment
scorpio,Economist
virgo,Economist
virgo,Accountant
taurus,Lawyer
cancer,Lawyer
libra,Businessperson
pisces,Prosecutor
scorpio,Lawyer
sagittarius,Dance
sagittarius,Model (people)
sagittarius,Politician
sagittarius,Actor
sagittarius,Soldier
taurus,Merchant
cancer,Neurology
aries,Lawyer
gemini,Sociology
capricorn,Writer
capricorn,Journalist
capricorn,Publishing
aquarius,Journalist
virgo,Officer (armed forces)
aries,Economist
aries,Teacher
libra,Politician
libra,Royal Academy of Italy
libra,Philosopher
libra,Politician
sagittarius,Criminal defense lawyer
sagittarius,Priest
sagittarius,Politician
libra,Politician
aquarius,Business magnate
capricorn,Radio personality
cancer,Lawyer
pisces,Lawyer
aries,Lawyer
cancer,Soldier
cancer,Politician
cancer,Exploration
scorpio,Lawyer
leo,Civil engineering
sagittarius,Lawyer
aquarius,Psychiatrist
cancer,Politician
aquarius,Politician
aquarius,Economist
aries,Economist
scorpio,Lawyer
leo,Civil engineer
sagittarius,Paramedic
sagittarius,Firefighter
leo,Bolivian Army
gemini,Lawyer
gemini,Economist
aries,Lawyer
cancer,Industrial engineering
virgo,Soldier
libra,Physician
taurus,Trade union
taurus,Lobbying
taurus,Dispatcher
taurus,Supervisor
taurus,Facilitator
taurus,Public transport
sagittarius,Sociology
leo,Lawyer
leo,Diplomat
taurus,Politician
aquarius,Lawyer
gemini,Businessperson
taurus,Priest
aries,Lawyer
taurus,Senate
taurus,Judge
taurus,Politician
capricorn,Lawyer
libra,Politician
cancer,Politician
cancer,Diplomat
aquarius,Politician
aquarius,Investigative journalism
aquarius,Radio personality
sagittarius,Politician
aries,Attorneys in the United States
cancer,Politician
cancer,Attorney at law
virgo,Civil service
gemini,Pastor
scorpio,Lawyer
virgo,Lawyer
virgo,Politician
scorpio,Politician
aries,Lawyer
aries,Politician
capricorn,Military engineering
scorpio,Lawyer
libra,Teacher
taurus,Teacher
gemini,Legislator
aries,List of Governors of Georgia
cancer,Politician
cancer,Bank
aries,Teacher
aries,Legislator
libra,Politician
capricorn,Farmer
capricorn,Teacher
leo,Lawyer
sagittarius,Lawyer
aries,Student
aries,Community organizing
scorpio,Politician
sagittarius,Politician
sagittarius,Diplomat
gemini,Politician
gemini,Economist
taurus,Politician
scorpio,Jurist
scorpio,Politician
aries,Lawyer
aries,Diplomat
leo,Civil law notary
cancer,Diplomat
virgo,Diplomacy
virgo,Diplomatic rank
aquarius,Astronomer
aquarius,Philosopher
aquarius,Politician
aquarius,Linguistics
scorpio,Lawyer
scorpio,Activism
virgo,Lawyer
virgo,Head teacher
scorpio,Lawyer
scorpio,Politician
scorpio,Bank
gemini,Medicine
cancer,Politician
capricorn,Lawyer
cancer,Lawyer
sagittarius,Copy editing
leo,Nursing
libra,Nursing
cancer,Politician
cancer,Economist
libra,Politician
libra,Economist
libra,Politician
libra,Economist
pisces,Politician
pisces,Economist
scorpio,Politician
aquarius,Lawyer
libra,Academia
libra,Activism
sagittarius,Politician
sagittarius,Barrister
sagittarius,Lecturer
taurus,Civil service
gemini,Surgeon
pisces,Professor
virgo,Agriculture
virgo,Businessperson
virgo,Builder
virgo,Politician
scorpio,Lawyer
scorpio,Journalist
pisces,Economist
cancer,Philosopher
cancer,Priest
cancer,Professor
leo,Attorneys in the United States
aquarius,Jurist
capricorn,Real estate broker
aquarius,Nuclear engineering
aquarius,Facilitator
aquarius,Program management
capricorn,Teacher
capricorn,Legislator
cancer,Legislator
cancer,Business manager
scorpio,Teacher
sagittarius,Attorneys in the United States
taurus,Fire chief
capricorn,Teacher
pisces,Firefighter
leo,Farmer
leo,Teacher
leo,Real estate broker
pisces,Biochemistry
cancer,Politician
sagittarius,Civil engineer
taurus,Athlete
capricorn,Pastor
sagittarius,Journalist
aquarius,Civil engineer
sagittarius,Physician
sagittarius,Surgeon
capricorn,Conductor (rail)
gemini,Jurist
libra,Professor
taurus,Journalist
taurus,Politician
capricorn,Politician
aries,Lawyer
pisces,Civil engineer
leo,Politician
leo,Miss Hawaii
aquarius,Writer
aquarius,Professor
libra,Diplomacy
libra,Diplomat
sagittarius,Rebellion
sagittarius,List of heads of state of the Democratic Republic of the Congo
scorpio,Civil law notary
scorpio,Professor
scorpio,Academic administration
capricorn,Teacher
scorpio,Politician
taurus,Lawyer
cancer,Economist
pisces,Bank
sagittarius,Businessperson
taurus,Legal profession
pisces,Surgeon
capricorn,International Association of Machinists and Aerospace Workers
virgo,Lawyer
virgo,Judge
libra,List of Governors of Texas
taurus,Mathematician
pisces,Jurist
pisces,Professor
libra,Construction
virgo,Businessperson
taurus,Registered nurse
aries,Lawyer
pisces,Political consulting
libra,Engineer
libra,Politician
taurus,Lawyer
taurus,Teacher
cancer,Lawyer
cancer,Bank
virgo,Central Technical School
leo,Nonprofit organization
leo,Attorney at law
scorpio,Bodybuilding
scorpio,Professor
sagittarius,Politician
libra,Pilot (aeronautics)
leo,Politician
libra,Criminology
libra,Security_Consultant
leo,Police officer
virgo,Engineer
pisces,Health economics
aquarius,Lawyer
aquarius,Politician
gemini,Faculty of Advocates
virgo,Lawyer
scorpio,Diplomacy
leo,Farmer
pisces,Politician
pisces,Entrepreneurship
scorpio,Developmental psychology
aquarius,Law
sagittarius,Lawyer
libra,Lawyer
gemini,Teacher
gemini,Head teacher
leo,Attorneys in the United States
sagittarius,Politician
cancer,Insurance
aries,Diplomacy
libra,Barrister
pisces,Chemistry
gemini,Archaeology
pisces,Lawyer
pisces,Activism
pisces,Executive director
virgo,Real estate broker
virgo,Creditor
taurus,Lawyer
aquarius,Lawyer
cancer,Engineer
cancer,Economist
sagittarius,Diplomacy
capricorn,Writer
capricorn,Journalist
capricorn,Novelist
capricorn,Activism
aquarius,Civil engineer
sagittarius,Metallurgy
sagittarius,Civil service
sagittarius,Engineer
cancer,Lawyer
gemini,Lawyer
gemini,Politician
libra,Agricultural engineering
libra,Politician
pisces,Lawyer
scorpio,Judge
scorpio,Politician
cancer,Military
capricorn,Lawyer
capricorn,Politician
aquarius,Engineer
gemini,Lawyer
leo,Politician
cancer,Businessperson
cancer,Director (business)
taurus,Historian
taurus,Soldier
taurus,Politician
taurus,Diplomat
cancer,Dentist
cancer,Political science
sagittarius,Pharmacist
libra,Lawyer
libra,Politician
libra,Activism
sagittarius,Management
aries,Legislative council
taurus,Legislative council
virgo,Actor
taurus,Politician
taurus,Businessperson
sagittarius,Physician
sagittarius,Politician
pisces,Estey Organ
scorpio,City attorney
gemini,Lawyer
cancer,Politician
gemini,Accountant
virgo,Politician
pisces,Journalist
pisces,Civil service
pisces,Teacher
virgo,Teacher
libra,Officer (armed forces)
cancer,Engineer
cancer,Lobbying
cancer,Businessperson
libra,Merchant
libra,Civil engineer
leo,Politician
leo,Politician
taurus,Nursing
aries,Journalist
capricorn,Physician
capricorn,Nursing
sagittarius,Public health
capricorn,Farmer
capricorn,County commission
virgo,Academia
virgo,Diplomacy
leo,Illinois House of Representatives
virgo,Lawyer
capricorn,Teacher
capricorn,Businessperson
scorpio,Risk management
taurus,Lawyer
taurus,Politician
aquarius,Professor
aquarius,Academic administration
leo,Nursing
scorpio,Politician
cancer,Teacher
cancer,Legislator
sagittarius,Lawyer
taurus,Lawyer
taurus,Trade union
taurus,Politician
libra,Attorneys in the United States
sagittarius,Author
sagittarius,Publishing
sagittarius,Columnist
sagittarius,Alberta Senate nominee election 2004
scorpio,Architect
pisces,Politician
libra,Economics
libra,University
pisces,Lawyer
aquarius,Politician
aquarius,Union organizer
virgo,International Brotherhood of Electrical Workers
taurus,Lawyer
aries,Teacher
capricorn,Businessperson
capricorn,Editing
libra,Politician
sagittarius,Lawyer
sagittarius,Politician
aquarius,Railway engineering
aries,Lawyer
aries,Politician
sagittarius,Lecturer
scorpio,Chemical engineer
virgo,Lawyer
virgo,Investment banking
aries,Economics
scorpio,Politician
libra,Barrister
aquarius,Legislator
cancer,Gastroenterology
cancer,Immunology
virgo,Dentist
pisces,Minister (Christianity)
taurus,Language interpretation
taurus,Tribal chief
taurus,Poet
cancer,Sociology
cancer,Lawyer
cancer,Politician
capricorn,Author
capricorn,Marketing
capricorn,Public administration
aquarius,Businessperson
aquarius,Horticulture
taurus,Teacher
sagittarius,Agriculture
sagittarius,Farmer
pisces,Lawyer
libra,Lawyer
libra,Consultant
leo,Attorneys in the United States
virgo,Military
libra,Lawyer
scorpio,Politician
aquarius,Senate of the Philippines
scorpio,Teacher
scorpio,Legislator
scorpio,Politician
leo,Lawyer
taurus,Politician
taurus,Teacher
taurus,Lawyer
capricorn,Journalist
capricorn,Editor-in-chief
capricorn,Minister (Christianity)
scorpio,Dentist
gemini,Politician
capricorn,Real estate
sagittarius,Attorneys in the United States
leo,Lawyer
leo,Judge
leo,Politician
pisces,Lawyer
aquarius,Lawyer
leo,Journalist
leo,Activism
libra,Business
capricorn,Lawyer
capricorn,Land tenure
capricorn,Chief of police
cancer,Lawyer
cancer,Judge
cancer,Politician
taurus,Diplomacy
cancer,Bank
aquarius,Physician
aquarius,Natural history
aquarius,Surgeon
cancer,Journalist
aquarius,Engineer
aquarius,Professor
gemini,Lawyer
capricorn,Attorneys in the United States
cancer,Royal Navy
sagittarius,Non-governmental organization
leo,Businessperson
leo,Teacher
capricorn,Author
capricorn,Neurology
aries,Businessperson
aquarius,Pediatrics
aquarius,Obstetrics
aquarius,Teacher
virgo,Social work
gemini,Public relations
gemini,Political science
scorpio,Attorneys in the United States
taurus,Pharmacist
libra,Bush flying
libra,Mathematics
gemini,Political science
capricorn,Philosopher
aries,Oenology
cancer,Lawyer
sagittarius,Lawyer
capricorn,Lawyer
capricorn,Lawyer
capricorn,Politician
gemini,Social work
aquarius,Politician
capricorn,Soldier
capricorn,Politician
capricorn,Clerk
pisces,Engineer
aries,Politician
aquarius,Politician
aquarius,Politician
aquarius,Officer (armed forces)
sagittarius,Politician
libra,Politician
capricorn,Agriculture
capricorn,Politician
virgo,Lawyer
virgo,Politician
libra,Politician
libra,Politician
virgo,Civil service
libra,Professor
libra,Dean (education)
taurus,Advocate
aries,Civil service
aries,Public administration
cancer,Government
virgo,Politician
sagittarius,Politician
pisces,Academic administration
virgo,Engineer
pisces,Carpentry
pisces,Millwright
aries,Trade union
aries,Politician
scorpio,Engineer
scorpio,Politician
scorpio,Officer (armed forces)
virgo,Veterinary physician
sagittarius,Retirement
pisces,Lawyer
pisces,Executive officer
cancer,Businessperson
aries,Social work
aries,Peshwa
scorpio,Propaganda
scorpio,Mother
scorpio,First Lady
pisces,Journalist
pisces,Politician
cancer,Edinburgh Napier University
gemini,Economist
aries,Lawyer
gemini,Lawyer
scorpio,Politician
virgo,Agriculture
leo,Agriculture
libra,Physician
aquarius,Diplomat
aries,Lawyer
aries,Judge
aries,Politician
capricorn,Lawyer
scorpio,Politician
gemini,Economist
libra,Attorneys in the United States
sagittarius,Lawyer
sagittarius,Politician
leo,Clergy
virgo,Agricultural science
sagittarius,Politician
sagittarius,Economist
sagittarius,Bank
capricorn,Civil service
taurus,Jurist
virgo,Politician
virgo,Social work
gemini,Electrician
libra,Businessperson
capricorn,Business consultant
leo,Lawyer
leo,Real estate development
scorpio,Lawyer
scorpio,Politician
scorpio,Diplomat
scorpio,Financier
scorpio,Agriculture
aquarius,List of Prime Ministers of Albania
virgo,Education
virgo,Politician
virgo,Entrepreneurship
virgo,Social work
aries,Lawyer
aries,Agriculture
aries,Politician
aries,Social work
taurus,Social work
pisces,Teacher
capricorn,Lawyer
capricorn,Health professional
capricorn,Professor
cancer,Farmer
aquarius,Professor
gemini,Wausau School District
capricorn,Politician
capricorn,Activism
capricorn,Economist
libra,Businessperson
virgo,Economist
sagittarius,Acting
sagittarius,Professional boxing
sagittarius,Businessperson
virgo,Politician
virgo,Social work
gemini,Agriculture
gemini,Agriculture
leo,Lawyer
leo,Farmer
leo,Politician
leo,Social work
leo,Agriculture
leo,Engineer
leo,Social work
leo,Horticulture
cancer,Politician
sagittarius,Army general
sagittarius,Lawyer
gemini,Military
scorpio,Officer (armed forces)
pisces,Lawyer
pisces,Politician
pisces,Politician
pisces,Economist
aries,Lawyer
pisces,Physician
pisces,Diplomat
scorpio,Doctor of Medicine
capricorn,Lawyer
gemini,Louisiana (New Spain)
taurus,Military
virgo,Farmer
leo,Lawyer
leo,Soldier
leo,Politician
aries,Jurist
aries,Professor
aries,Lawyer
virgo,Military
leo,Economist
scorpio,Economist
scorpio,Professor
taurus,Bank
libra,Lawyer
pisces,Diplomat
sagittarius,Politician
sagittarius,Teacher
capricorn,Lawyer
capricorn,Soldier
aquarius,Politician
aquarius,Editing
capricorn,Neurosurgery
aries,Field marshal
capricorn,Lieutenant general
scorpio,Physician
scorpio,Civil service
leo,Diplomat
capricorn,Historian
libra,Paralegal
scorpio,Politician
capricorn,Teacher
pisces,Attorneys in the United States
leo,Lawyer
cancer,Estate agent
capricorn,National Urban League
sagittarius,Neuroscience
aries,Biblical studies
aquarius,Politician
leo,Diplomat
pisces,Business administration
pisces,Secretary
aquarius,Engineer
scorpio,Business administration
virgo,Lawyer
virgo,Management
aquarius,Politician
aquarius,Philosophy
libra,Lawyer
virgo,Journalist
virgo,Politician
virgo,Intelligence analysis
cancer,Ophthalmology
cancer,Eye surgery
sagittarius,Physician
leo,Senate
leo,Politician
leo,Attorney at law
libra,Teacher
leo,Politician
sagittarius,Lawyer
sagittarius,Politician
sagittarius,Bank
taurus,Lawyer
gemini,Senior Advisor
gemini,Congressional staff
capricorn,Political science
pisces,Community organizing
capricorn,Paramedic
capricorn,Emergency physician
leo,Teacher
capricorn,Teacher
capricorn,Missionary
virgo,Journalist
virgo,Teacher
sagittarius,Real estate broker
virgo,Economist
virgo,Foreign Service Officer
scorpio,Politician
capricorn,Politician
capricorn,Bank
virgo,Lawyer
sagittarius,Politician
sagittarius,Talk show
sagittarius,Telemarketing
sagittarius,Franchising
virgo,Chief executive officer
scorpio,Pastor
scorpio,Academia
leo,Journalism
cancer,Farmer
scorpio,Politician
libra,Lawyer
libra,Politician
aquarius,Lawyer
aquarius,Politician
leo,Businessperson
leo,Justice of the peace
pisces,Surgeon
leo,Lawyer
leo,Politician
capricorn,Lawyer
capricorn,Legal education
gemini,Barrister
taurus,Lawyer
scorpio,Diplomat
sagittarius,Lawyer
pisces,Economist
pisces,Politician
pisces,Surgeon
pisces,Lawyer
aries,Lawyer
aries,Political science
pisces,Business administration
leo,Economist
gemini,Australian rules football
gemini,Politician
leo,Trade union
virgo,Politician
taurus,Lawyer
libra,Advocate
cancer,Insurance broker
libra,Attorneys in the United States
libra,Lawyer
libra,Lobbying
scorpio,Lawyer
virgo,Politician
sagittarius,Teacher
capricorn,Lawyer
capricorn,Businessperson
capricorn,Consultant
scorpio,Tax collector
cancer,Journalist
aquarius,Research
aquarius,Nursing
virgo,Publishing
taurus,Politician
taurus,Lawyer
taurus,Politician
aquarius,Civil service
aries,Politician
aries,Attorney at law
taurus,Economist
cancer,Lawyer
cancer,Legislator
pisces,Hydraulic engineering
aquarius,Lawyer
leo,Mechanic
scorpio,Lawyer
taurus,Diplomacy
scorpio,Lawyer
cancer,Lawyer
pisces,Publishing
libra,Journalist_fmr_Senator
sagittarius,Lawyer
pisces,Spanish Navy
cancer,Lawyer
cancer,Politician
libra,Attorneys in the United States
pisces,Diplomacy
pisces,Senior Foreign Service
pisces,Lawyer
pisces,Diplomacy
leo,Economist
cancer,Economist
aries,Politician
aries,Diplomacy
virgo,Orator
virgo,Plantations in the American South
gemini,Professor
virgo,Public administration
cancer,Farmer
cancer,Teacher
cancer,Lawyer
libra,Lawyer
aquarius,Accountant
capricorn,Economist
aquarius,Civil service
gemini,Politician
sagittarius,Dentistry
sagittarius,Business manager
libra,Lawyer
gemini,Crown prince
taurus,Lawyer
pisces,Fisheries science
aquarius,Soldier
scorpio,Attorneys in the United States
leo,Pathology
aries,Teacher
taurus,Lawyer
taurus,Politician
pisces,Law
sagittarius,Information technology
cancer,Officer (armed forces)
sagittarius,Firefighter
sagittarius,Teacher
virgo,Politician
virgo,Surgeon
scorpio,Lawyer
scorpio,Radio personality
gemini,Insurance
cancer,Politician
aries,Real estate broker
sagittarius,Society of Jesus
sagittarius,Historian
gemini,Politics
libra,Garda Síochána
capricorn,Lawyer
capricorn,Financier
libra,Law
taurus,Politician
sagittarius,Miller
capricorn,Economist
libra,Officer (armed forces)
libra,Attorneys in the United States
libra,Business executive
pisces,Intelligence officer
capricorn,Orthopedic surgery
aquarius,Real estate
libra,Society of Jesus
libra,Lawyer
sagittarius,Military
taurus,Chief executive officer
aquarius,Politician
gemini,Society of Jesus
gemini,Academic administration
virgo,Parole
gemini,Academic_Neurosurgeon
gemini,Lawyer
gemini,Politician
libra,Professor
gemini,Lawyer
virgo,Occupational therapist
aries,Historian
sagittarius,Lawyer
virgo,Lawyer
libra,Lawyer
taurus,Legal profession
sagittarius,Attorneys in the United States
leo,Barrister
aquarius,Attorneys in the United States
capricorn,Physician
aries,History
libra,Lawyer
libra,Politician
scorpio,Police officer
aries,Attorneys in the United States
capricorn,Academic administration
leo,Lawyer
leo,Politician
scorpio,Intelligence officer
aries,Professor
aries,Politician
aries,Economist
leo,Professor
capricorn,Priest
scorpio,Member of parliament
capricorn,Journalist
capricorn,Labor relations
cancer,Physician
aries,Businessperson
aquarius,Lawyer
aquarius,Politician
leo,Environmental consulting
pisces,Politician
libra,Psychiatrist
scorpio,Businessperson
cancer,Lawyer
cancer,Politician
scorpio,Lawyer
scorpio,Politician
virgo,Journalism
virgo,Presenter
scorpio,Farmer
scorpio,Gristmill
virgo,Certified Public Accountant
virgo,The American College of Financial Services
virgo,Lawyer
virgo,Business
virgo,Pastor
leo,Lawyer
leo,Illinois House of Representatives
leo,Graphic design
leo,Physical therapy
leo,Politician
leo,Businessperson
capricorn,Lawyer
gemini,Lawyer
leo,Teacher
cancer,Police officer
virgo,Insurance
virgo,Real estate
virgo,Attorneys in the United States
libra,Medical history
libra,Neurosurgery
cancer,Lawyer
taurus,Lawyer
pisces,Lawyer
virgo,Lawyer
scorpio,Lawyer
scorpio,Economist
cancer,Politician
