Zodiac,Continent of Birth,Religion,Profession
aquarius,NA,NA,Registered nurse
NA,NA,NA,Lawyer
pisces,NA,NA,Faculty of Advocates
gemini,NA,NA,Teacher
gemini,NA,NA,Lawyer
gemini,Europe,Christian,Theology
pisces,North America,Christian,Lawyer
pisces,North America,Christian,Politician
scorpio,NA,NA,Scholarly method
scorpio,NA,NA,Wikt:Statesman
aquarius,North America,NA,Physician
libra,NA,NA,Journalist
libra,NA,NA,Politician
aries,South America,Christian,Mathematician
aries,South America,Christian,Philosopher
cancer,NA,Christian,Lawyer
taurus,NA,NA,Dentist
taurus,Europe,NA,Attorney at law
leo,North America,NA,Lawyer
taurus,NA,Christian,Barristers in England and Wales
taurus,NA,Christian,Politician
virgo,North America,NA,Businessperson
gemini,NA,NA,Police officer
cancer,NA,Christian,Politician
gemini,NA,NA,Legal profession
libra,North America,NA,Politician
NA,NA,Christian,Electrician
aries,North America,Jew,Politics of the United States
aries,North America,Jew,Diplomacy
taurus,NA,NA,Legal profession
NA,Europe,NA,Barrister
NA,Europe,NA,Notary public
leo,NA,NA,Solicitor
leo,NA,NA,Academia
gemini,NA,NA,Politician
gemini,NA,NA,Bank
sagittarius,NA,NA,Farmer
sagittarius,NA,NA,Postmaster
libra,NA,Christian,Lawyer
libra,NA,Christian,Writer
cancer,NA,Christian,Diplomat
aquarius,NA,NA,Politician
aquarius,NA,NA,Biologist
capricorn,NA,NA,Economics
NA,Europe,NA,Navigator
gemini,Europe,NA,Economist
leo,NA,Christian,Historian
leo,NA,Christian,Politician
leo,NA,Christian,Academia
leo,NA,Christian,Human rights activists
gemini,NA,NA,Academician
gemini,Asia,NA,Politician
pisces,NA,NA,Physician
scorpio,NA,NA,Military
virgo,NA,NA,Accountant
capricorn,South America,Christian,Professor
virgo,South America,NA,Soldier
aquarius,North America,NA,Politician
aquarius,North America,NA,Businessperson
aquarius,North America,NA,Agronomy
aries,Europe,NA,Lawyer
sagittarius,North America,Christian,Army
aries,Europe,NA,Magistrate
aquarius,NA,Christian,Politician
NA,Europe,NA,Texas
cancer,South America,Christian,Engineer
libra,South America,NA,Physician
libra,South America,NA,Politician
taurus,South America,NA,Diplomat
NA,NA,NA,Lawyer
libra,NA,Christian,Lawyer
sagittarius,NA,NA,Lawyer
sagittarius,NA,NA,Politician
virgo,NA,Christian,Politician
scorpio,NA,Christian,Lawyer
aquarius,NA,NA,District attorney
aries,North America,NA,Lawyer
aries,North America,NA,Politician
libra,NA,NA,University of Minnesota
taurus,North America,NA,Lawyer
taurus,North America,NA,Minister (Christianity)
aquarius,NA,NA,Ethnology
aquarius,NA,NA,Politician
aquarius,NA,NA,Professor
capricorn,Europe,NA,Physician
capricorn,Europe,NA,Neuroscientist
aquarius,NA,Christian,Solicitor
leo,NA,Christian,Lawyer
sagittarius,NA,NA,Academic administration
scorpio,North America,NA,Politician
pisces,NA,Christian,Chartered accountant
cancer,Africa,NA,Soldier
gemini,NA,NA,Physicist
virgo,NA,NA,Barrister
sagittarius,NA,NA,Lawyer
taurus,NA,NA,Lawyer
gemini,NA,NA,Politician
aquarius,NA,NA,Lawyer
pisces,NA,NA,Jurist
pisces,NA,NA,Politician
capricorn,North America,NA,Diplomacy
aries,NA,NA,Politician
virgo,North America,Christian,Lawyer
pisces,Europe,NA,Economics
taurus,NA,NA,Marketing
capricorn,North America,Christian,Lawyer
taurus,South America,NA,Economist
leo,NA,NA,Lawyer
scorpio,North America,NA,Lawyer
scorpio,North America,NA,Politician
scorpio,North America,NA,Diplomat
