Zodiac,Continent of Birth,Religion,Profession
scorpio,North America,Christian,Legislative assistant
capricorn,Asia,Christian,Politician
capricorn,Europe,NA,Physicist
pisces,NA,Jew,Lawyer
aries,North America,NA,Lawyer
pisces,NA,NA,Civil engineer
leo,North America,NA,Oil
libra,NA,Jew,Attorneys in the United States
leo,North America,Christian,Engineering
virgo,NA,NA,Barrister
cancer,NA,NA,Teacher
virgo,NA,NA,Attorneys in the United States
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Journalist
capricorn,NA,NA,Politician
aries,NA,NA,Republican Party (United States)
virgo,North America,Christian,Lawyer
virgo,North America,Christian,Politician
gemini,NA,NA,Lawyer
gemini,NA,NA,Politician
cancer,NA,Christian,Teacher
taurus,NA,Christian,Teacher
taurus,NA,NA,Trade union
libra,North America,NA,Politician
libra,North America,NA,Teacher
aries,NA,Christian,Lawyer
NA,NA,Christian,Politician
NA,NA,Christian,Attorneys in the United States
leo,NA,Jew,Lawyer
libra,Africa,NA,Accountant
NA,North America,NA,Physician
virgo,NA,Christian,Politician
virgo,NA,Christian,Teacher
aries,NA,NA,Politician
aquarius,North America,NA,Professor
libra,North America,NA,Academia
libra,North America,NA,Academic administration
scorpio,NA,NA,Announcer
scorpio,South America,Christian,Physician
aquarius,NA,Christian,Shipbuilding
virgo,NA,NA,Politician
capricorn,North America,NA,Lawyer
capricorn,North America,NA,Judge
scorpio,North America,NA,Lawyer
capricorn,North America,Christian,Lawyer
capricorn,North America,Christian,Politician
capricorn,North America,NA,Lawyer
cancer,NA,NA,Dentist
aquarius,North America,NA,Politician
NA,NA,NA,Army
NA,NA,NA,Politician
sagittarius,NA,NA,Politician
aries,North America,Christian,Businessperson
aries,North America,Christian,Activism
aries,North America,Christian,Land tenure
NA,North America,NA,Presbyterian Church in the United States of America
libra,North America,NA,Accountant
virgo,North America,Christian,Soldier
taurus,NA,NA,Teacher
NA,NA,Christian,Journalist
NA,NA,Christian,Public administration
NA,NA,Christian,Minister (Christianity)
cancer,NA,NA,Lawyer
aries,North America,NA,Civil law notary
sagittarius,NA,NA,Lawyer
sagittarius,Europe,NA,Diplomat
libra,NA,Christian,Wikt:statesman
aries,North America,NA,Businessperson
leo,NA,NA,Economist
taurus,Europe,Christian,Orthopedic surgery
taurus,Europe,Christian,Sport
libra,North America,Christian,Lawyer
pisces,NA,NA,Bailiff
taurus,NA,Christian,Antiquarian
taurus,NA,Christian,Archaeology
pisces,NA,Christian,Politics
pisces,South America,Christian,Economist
cancer,NA,Hindu,Businessperson
capricorn,NA,NA,Agriculture
taurus,NA,NA,Physician
taurus,NA,NA,Professor
aquarius,NA,NA,Agriculture
aquarius,NA,NA,Social work
NA,South America,Christian,Lawyer
aries,South America,Christian,Lawyer
cancer,South America,NA,Lawyer
sagittarius,South America,NA,Architect
NA,South America,Christian,Lawyer
NA,North America,NA,Professor
NA,Asia,NA,Philanthropy
libra,South America,Christian,Political science
virgo,NA,NA,Market_Analyst
capricorn,NA,NA,Solicitor
scorpio,Europe,NA,Teacher
scorpio,Europe,NA,Politician
leo,NA,NA,Physician
aquarius,NA,Muslim,Baloch people
aquarius,NA,Muslim,Fruit preserves
aquarius,NA,Muslim,Politician
capricorn,NA,Muslim,Nawab
NA,NA,Muslim,Politician
taurus,Asia,NA,Politician
scorpio,Asia,NA,Civil engineer
capricorn,NA,NA,Post office
taurus,NA,NA,Cowman (profession)
pisces,NA,Christian,Public administration
libra,North America,NA,Lawyer
scorpio,North America,NA,Politician
capricorn,NA,NA,Lawyer
leo,NA,NA,Lawyer
capricorn,North America,NA,Farmer
capricorn,North America,NA,Broadcasting
capricorn,North America,NA,Oil
virgo,North America,NA,Civil engineer
pisces,NA,NA,Lawyer
pisces,NA,NA,Faculty of Advocates
libra,NA,NA,Doctor of Medicine
libra,NA,NA,Politician
libra,NA,NA,Businessperson
virgo,NA,NA,Teacher
virgo,NA,NA,Head teacher
aries,North America,Christian,Lawyer
scorpio,NA,Christian,Lawyer
pisces,NA,NA,Farmer
cancer,NA,NA,Notary public
libra,NA,NA,Lawyer
cancer,NA,NA,Lawyer
NA,Europe,NA,Lawyer
NA,Europe,NA,Politician
NA,NA,NA,Air force
pisces,NA,NA,Lawyer
gemini,NA,Christian,Lawyer
gemini,NA,Christian,Politician
gemini,NA,NA,Lawyer
gemini,NA,Christian,Lawyer
gemini,NA,Christian,Politician
capricorn,NA,NA,Teacher
capricorn,NA,NA,Printer (publishing)
capricorn,NA,NA,Public speaking
taurus,North America,NA,Lawyer
taurus,North America,NA,Politician
NA,NA,NA,Lawyer
NA,NA,NA,Plantations in the American South
pisces,NA,NA,Lawyer
scorpio,NA,NA,Lawyer
taurus,NA,Christian,Lawyer
taurus,NA,Christian,Politician
taurus,NA,Christian,Diplomat
gemini,NA,NA,Politician
pisces,North America,NA,Lawyer
pisces,North America,NA,Judge
pisces,North America,NA,Politician
pisces,North America,NA,Bank
taurus,NA,NA,Lawyer
taurus,NA,NA,Politician
virgo,NA,NA,Lawyer
gemini,NA,NA,Lawyer
gemini,NA,NA,Lawyer
leo,NA,Christian,Dentistry
capricorn,NA,Christian,Attorney at law
virgo,Europe,NA,General contractor
cancer,NA,Christian,Attorneys in the United States
capricorn,NA,NA,Politician
libra,North America,NA,Physician
leo,North America,NA,Lawyer
leo,North America,NA,Lobbying
pisces,NA,NA,Politician
pisces,NA,NA,History of slavery
pisces,NA,NA,Sea captain
sagittarius,NA,Christian,Governor
aries,NA,NA,Lawyer
gemini,NA,NA,Diplomacy
gemini,NA,NA,Diplomatic rank
aquarius,NA,NA,Faculty of Advocates
virgo,NA,Christian,Merchant bank
sagittarius,North America,NA,Professor
libra,NA,NA,Politician
cancer,NA,Christian,Farmer
pisces,NA,NA,Logging
pisces,NA,NA,Lawyer
pisces,NA,NA,Lobbying in the United States
sagittarius,North America,Christian,Cotton
libra,NA,NA,Lawyer
libra,NA,NA,Politician
libra,NA,NA,Plantations in the American South
leo,North America,NA,Soldier
leo,North America,NA,Politician
gemini,NA,NA,Lawyer
libra,North America,Christian,Bank
libra,North America,Christian,Ranch
sagittarius,NA,NA,Lawyer
sagittarius,NA,NA,Judge
sagittarius,NA,NA,Politician
pisces,NA,NA,Psychologist
virgo,North America,NA,Politician
virgo,North America,NA,Manufacturing
libra,NA,NA,Lawyer
sagittarius,NA,NA,Teacher
gemini,North America,Christian,Politician
libra,NA,NA,Merchant
libra,North America,NA,Lawyer
libra,North America,NA,Judge
libra,North America,NA,Politician
libra,North America,NA,Minister (Christianity)
aquarius,NA,Christian,Politician
aquarius,NA,Christian,Investment banking
NA,NA,Christian,Academic administration
scorpio,NA,NA,Lawyer
aquarius,NA,NA,Politics
sagittarius,NA,NA,Chemist
capricorn,North America,NA,Professor
sagittarius,NA,Christian,Farmer
sagittarius,NA,Christian,Teacher
capricorn,NA,Christian,Minister (Christianity)
NA,NA,NA,Lawyer
NA,NA,NA,Judge
virgo,NA,NA,Lawyer
virgo,NA,NA,Politician
capricorn,Asia,NA,Academia
taurus,Europe,Christian,Barrister
taurus,NA,NA,Engineer
sagittarius,North America,NA,Lawyer
sagittarius,North America,NA,Politician
aquarius,NA,Christian,Lawyer
aquarius,NA,Christian,Politician
libra,North America,NA,Politician
libra,North America,NA,Coaldale Big Green
capricorn,NA,Christian,Public relations
cancer,NA,NA,Businessperson
leo,NA,Christian,Attorneys in the United States
capricorn,NA,NA,Lawyer
gemini,NA,NA,Carpentry
taurus,North America,NA,Surgeon
taurus,North America,NA,Professor
libra,NA,NA,Forester
virgo,North America,Christian,Politician
taurus,NA,NA,University of Warwick
taurus,North America,NA,Lawyer
libra,North America,NA,Lawyer
aquarius,NA,Christian,Episcopal Diocese of Tennessee
capricorn,NA,NA,Philanthropy
sagittarius,NA,NA,Neurosurgery
pisces,NA,NA,Diplomacy
leo,North America,NA,Soldier
leo,North America,NA,Politician
NA,North America,Christian,Priesthood (Catholic Church)
aries,NA,NA,Engineer
aries,NA,NA,Academia
cancer,North America,NA,Physician
scorpio,NA,Christian,Lawyer
scorpio,NA,Christian,Plantations in the American South
sagittarius,NA,NA,Lawyer
NA,North America,NA,Cardiac surgery
sagittarius,North America,NA,United States Marine Corps
sagittarius,North America,NA,Diplomat
libra,NA,NA,Politician
libra,NA,NA,Professor
capricorn,North America,NA,Pastor
pisces,NA,Christian,Businessperson
cancer,North America,NA,Lawyer
taurus,North America,NA,Business
libra,NA,NA,Economics
libra,NA,NA,History
virgo,NA,NA,Surveying
virgo,NA,NA,Civil engineer
sagittarius,NA,NA,Politician
pisces,North America,NA,Musician
pisces,North America,NA,Teacher
pisces,North America,NA,Academic administration
leo,NA,NA,Jurist
leo,NA,NA,Politician
virgo,Europe,NA,Cardiothoracic surgery
libra,Asia,NA,Politician
libra,Asia,NA,Diplomat
libra,Asia,NA,Academician
taurus,NA,Muslim,Economist
pisces,NA,NA,Trade union
pisces,NA,NA,Politician
pisces,NA,NA,Advocate
pisces,Africa,Muslim,Lecturer
pisces,Africa,Muslim,Professor
NA,Africa,NA,Soldier
NA,Africa,NA,Military
capricorn,NA,NA,Sociology
taurus,Africa,Muslim,Warrior
NA,Africa,NA,Accountant
aries,NA,NA,Agriculture
aries,NA,NA,Politician
aries,NA,NA,Teacher
aries,NA,NA,Social work
aries,NA,NA,Trader
aries,Asia,NA,Jurist
sagittarius,NA,Hindu,Health professional
cancer,NA,Hindu,Lecturer
scorpio,NA,NA,Businessperson
cancer,NA,Hindu,Teacher
aquarius,NA,Muslim,Social work
aquarius,Europe,NA,Politician
leo,NA,NA,Indian independence movement
leo,NA,NA,Revolutionary
capricorn,NA,Hindu,Lawyer
capricorn,NA,Muslim,Advocate
NA,Asia,NA,Geophysics
aquarius,NA,NA,Social work
taurus,Asia,Buddhist,Professor
virgo,NA,NA,Agriculture
virgo,NA,NA,Businessperson
pisces,NA,NA,Social work
taurus,Oceania,NA,Economist
leo,Asia,NA,Politician
leo,Asia,NA,Businessperson
libra,Africa,Muslim,Political science
cancer,Africa,Muslim,Agricultural economics
capricorn,North America,Christian,Politics of the United States
NA,Africa,Muslim,Economist
capricorn,NA,NA,Admiral
aries,Asia,Buddhist,Politician
aries,Asia,Buddhist,Diplomat
aries,Asia,Buddhist,Professor
pisces,Asia,NA,Politician
pisces,Asia,NA,Social work
pisces,Asia,NA,Advocate
leo,NA,Hindu,Lawyer
virgo,NA,Christian,Electrical engineering
NA,NA,Christian,Human rights
virgo,NA,Christian,Member of parliament
scorpio,NA,NA,Attorneys in the United States
scorpio,North America,NA,Lawyer
libra,NA,NA,Director of communications
libra,NA,NA,Former_Journalist
NA,North America,NA,Attorneys in the United States
pisces,NA,Christian,Businessperson
NA,North America,NA,Mediation
NA,North America,NA,Canadian Armed Forces
pisces,NA,NA,
sagittarius,NA,NA,Attorneys in the United States
gemini,NA,Christian,Politician
libra,NA,Christian,Theology
libra,NA,NA,Lawyer
leo,Europe,Christian,Physician
virgo,North America,Christian,Lawyer
libra,NA,NA,Jurist
virgo,Europe,NA,Teacher
virgo,Europe,NA,Business manager
virgo,Europe,NA,Nazism
pisces,NA,NA,Physician
scorpio,NA,Christian,Lawyer
aquarius,NA,NA,Lawyer
aries,NA,NA,Population Services International
pisces,NA,Christian,Paralegal
pisces,NA,Christian,Legislator
pisces,NA,Christian,Union organizer
aries,South America,NA,Midwifery
scorpio,NA,NA,Teacher
capricorn,NA,Hindu,Shopkeeper
libra,NA,Buddhist,Businessperson
aries,Asia,Buddhist,Economist
aries,Asia,Buddhist,Lecturer
gemini,NA,Muslim,Teacher
aries,Asia,Hindu,Lawyer
aries,Asia,Hindu,Politician
aquarius,Asia,Muslim,Politician
aquarius,NA,NA,Mechanical engineering
taurus,NA,NA,Jurist
taurus,NA,NA,Politician
cancer,NA,NA,Businessperson
cancer,NA,NA,Teacher
taurus,NA,NA,Teacher
taurus,NA,NA,Legislator
cancer,North America,NA,Politician
cancer,North America,NA,Attorney at law
libra,North America,NA,Lawyer
libra,North America,NA,Politician
cancer,North America,Christian,Lawyer
cancer,NA,NA,Politician
cancer,NA,NA,Prosecutor
NA,NA,NA,Teacher
capricorn,NA,Christian,Librarian
leo,NA,NA,Businessperson
sagittarius,North America,NA,Economics
sagittarius,North America,NA,Public policy
aquarius,NA,Christian,Teacher
scorpio,NA,Christian,Teacher
scorpio,NA,NA,Attorneys in the United States
aries,NA,Christian,Lobbying
aries,NA,Christian,Legislator
aries,NA,Christian,Business consultant
cancer,NA,Christian,Teacher
sagittarius,North America,Christian,Housewife
sagittarius,North America,Christian,Attorneys in the United States
taurus,NA,Christian,Theology
taurus,NA,Christian,Politician
scorpio,NA,NA,Real estate broker
scorpio,NA,NA,Tax preparation
capricorn,Asia,NA,General officer
cancer,Asia,NA,Politician
cancer,Asia,NA,Bureaucrat
aries,Asia,NA,Television presenter
libra,NA,NA,Trade union
libra,NA,NA,Teacher
capricorn,NA,Christian,Teacher
sagittarius,NA,Christian,Physicist
NA,NA,Buddhist,Businessperson
aries,NA,NA,Lawyer
aquarius,NA,NA,Admiral
gemini,Europe,NA,Lawyer
sagittarius,North America,NA,Intelligence officer
virgo,North America,NA,Neurosurgery
virgo,North America,NA,Lawyer
taurus,NA,NA,Teacher
taurus,NA,NA,Lecturer
capricorn,NA,NA,Business
aries,Europe,NA,Consortium of Universities for Global Health
taurus,NA,NA,Lumberjack
cancer,NA,Buddhist,Politician
NA,Europe,NA,Institute of Chartered Accountants in England and Wales
NA,Africa,Muslim,Diplomat
NA,Africa,Muslim,Politician
sagittarius,NA,NA,Historian
sagittarius,NA,NA,Lawyer
sagittarius,NA,NA,Politician
sagittarius,NA,NA,Teacher
scorpio,NA,NA,Real estate development
virgo,NA,NA,Politician
scorpio,NA,NA,Teacher
scorpio,North America,Christian,Farmer
scorpio,North America,Christian,Real estate
sagittarius,Oceania,NA,Economist
taurus,North America,NA,Politician
leo,NA,NA,Farmer
leo,NA,NA,Entrepreneurship
leo,Oceania,Christian,Auto mechanic
leo,NA,NA,Lawyer
leo,NA,NA,Businessperson
leo,NA,NA,Political consulting
leo,NA,NA,Politician
leo,NA,NA,Businessperson
aries,NA,NA,Civil engineer
taurus,NA,NA,Academia
scorpio,NA,Christian,United States Navy
scorpio,NA,Christian,Farmer
cancer,North America,Christian,Lawyer
libra,NA,NA,Lawyer
leo,North America,Christian,Government
libra,NA,Christian,Teacher
libra,NA,Christian,Funeral director
leo,NA,NA,Lawyer
leo,NA,NA,Politician
virgo,NA,NA,Diplomat
aquarius,NA,Christian,Social work
scorpio,Oceania,NA,Lawyer
scorpio,Oceania,NA,Judge
gemini,North America,NA,Diplomat
capricorn,NA,NA,Orthopedic surgery
aquarius,NA,NA,Lawyer
capricorn,NA,NA,Intelligence officer
NA,North America,Christian,Politician
leo,NA,NA,Police officer
cancer,NA,NA,Faculty of Advocates
scorpio,NA,NA,Teacher
scorpio,NA,NA,Academic administration
capricorn,North America,NA,Business
capricorn,North America,NA,Diplomat
capricorn,North America,NA,Professor
cancer,North America,Christian,Campbellsville University
cancer,North America,Christian,Teacher
NA,NA,NA,Lawyer
NA,NA,NA,Politician
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Politician
aquarius,North America,Christian,Advertising
aquarius,North America,Christian,Music
virgo,North America,Christian,Politician
virgo,North America,Christian,Businessperson
virgo,North America,Christian,Professor
taurus,NA,NA,Solicitor
sagittarius,NA,Christian,Teacher
sagittarius,NA,Christian,Legislator
sagittarius,NA,NA,Lawyer
cancer,NA,Christian,Farmer
virgo,Asia,NA,Dentist
virgo,Asia,NA,Management
scorpio,NA,NA,Legislator
scorpio,NA,NA,Case management (USA health system)
leo,North America,NA,Domestic violence
scorpio,NA,NA,Radiation therapy
cancer,NA,NA,Politician
cancer,NA,NA,Social work
sagittarius,NA,Christian,Teacher
NA,NA,Christian,Solicitor
NA,NA,Christian,Police officer
libra,NA,Christian,Businessperson
taurus,NA,NA,Teacher
aquarius,NA,NA,Teacher
aquarius,NA,NA,Energy_Development_Officer
aries,NA,Christian,Lawyer
aries,NA,Christian,Professor
aries,NA,Christian,Academic administration
leo,NA,NA,Lawyer
leo,NA,NA,Academia
pisces,NA,Christian,Pharmacist
NA,North America,Christian,Lawyer
NA,NA,Christian,Technician
capricorn,North America,Christian,Society of Jesus
capricorn,North America,Christian,Lawyer
capricorn,North America,Christian,Jurist
taurus,NA,NA,Officer (armed forces)
taurus,NA,NA,Civil service
pisces,NA,NA,Lawyer
sagittarius,NA,NA,Politician
virgo,NA,NA,Consultant
libra,NA,NA,Azusa Pacific University
capricorn,North America,Christian,Lawyer
virgo,NA,NA,Lawyer
taurus,Africa,Muslim,Engineer
taurus,NA,Muslim,Accountant
NA,NA,NA,Politician
scorpio,NA,NA,Journalist
scorpio,NA,NA,Politician
sagittarius,NA,Muslim,Economist
virgo,Asia,NA,Politician
virgo,Asia,NA,Economist
scorpio,NA,NA,Physician
scorpio,NA,NA,Politician
scorpio,NA,NA,Social work
gemini,North America,NA,Attorneys in the United States
NA,NA,Christian,Politician
virgo,Asia,NA,Academia
virgo,Asia,NA,Academic administration
pisces,NA,Christian,Lawyer
taurus,NA,NA,Diplomat
aries,NA,Christian,Journalist
scorpio,NA,NA,Agriculture
scorpio,NA,NA,Education
scorpio,NA,NA,Journalist
scorpio,NA,NA,Politician
NA,NA,Christian,Teacher
aries,Asia,NA,Eternal President of the Republic
libra,Asia,NA,Economics
libra,Asia,NA,Academia
libra,Asia,NA,Academic administration
aries,Asia,Christian,Diplomat
libra,North America,NA,Accounting
libra,North America,NA,Politician
taurus,NA,NA,Paralegal
NA,NA,NA,Auditor
NA,NA,Hindu,Advocate
capricorn,NA,NA,Politician
leo,North America,NA,Lawyer
gemini,NA,Christian,Academia
gemini,NA,Christian,Activism
gemini,NA,Christian,Academic administration
scorpio,Europe,NA,Psychiatrist
scorpio,Europe,NA,Politician
scorpio,Asia,NA,Obstetrics and gynaecology
NA,NA,Christian,People's Bank (Sri Lanka)
leo,Africa,NA,Politician
libra,NA,NA,Social work
libra,NA,NA,Professor
taurus,NA,NA,Politician
taurus,NA,NA,Social work
aries,NA,NA,Businessperson
aries,NA,NA,Entrepreneurship
gemini,NA,NA,Politician
gemini,NA,NA,Health professional
gemini,NA,NA,Surgeon
NA,NA,Christian,Legislator
NA,NA,Christian,Small business
aries,NA,Buddhist,Businessperson
scorpio,NA,NA,Health geography
aquarius,North America,NA,Lawyer
gemini,NA,NA,Lawyer
leo,NA,Buddhist,Politician
leo,NA,Buddhist,Economist
cancer,NA,NA,Politician
gemini,NA,NA,Officer (armed forces)
gemini,NA,NA,Sea captain
virgo,Europe,Christian,Clergy
cancer,NA,NA,Lawyer
cancer,NA,NA,Lecturer
sagittarius,NA,NA,Editor-in-chief
sagittarius,NA,NA,Cabinetry
sagittarius,Europe,NA,Siviløkonom
aries,Europe,NA,Architect
libra,Europe,NA,Barrister
aquarius,NA,NA,Ambassador
gemini,Africa,Muslim,Lawyer
cancer,NA,Christian,Academia
NA,Asia,NA,Colorectal surgery
cancer,NA,NA,Sukhothai Thammathirat Open University
taurus,NA,NA,Bank teller
taurus,NA,Christian,Bank teller
aquarius,NA,NA,Physician
capricorn,NA,Christian,Geologist
leo,NA,NA,Lawyer
aquarius,NA,NA,Physician
aquarius,NA,NA,Syndicalism
taurus,NA,NA,Journalist
taurus,NA,NA,Diplomat
NA,NA,Christian,Lawyer
NA,Europe,NA,Lawyer
libra,NA,Christian,Lawyer
virgo,Europe,Christian,Forensic_sceinentist
sagittarius,South America,NA,Economics
pisces,NA,Buddhist,Author
pisces,NA,Buddhist,Politician
pisces,NA,Buddhist,Investment banking
NA,NA,NA,Legislator
pisces,Europe,Christian,Politician
cancer,NA,Christian,Marketing
cancer,NA,Christian,Civil service
aries,Africa,NA,Warrior
pisces,NA,NA,Lawyer
capricorn,NA,NA,Politician
capricorn,NA,NA,Businessperson
aries,NA,NA,Historian
aries,NA,NA,Politician
aquarius,NA,NA,Lawyer
aquarius,NA,NA,Politician
virgo,NA,Christian,Teacher
taurus,Europe,Muslim,Jurist
aquarius,Asia,Christian,Celebrity
pisces,NA,Hindu,Scientist
capricorn,NA,NA,Education
virgo,NA,Hindu,Businessperson
sagittarius,NA,Hindu,General contractor
pisces,NA,NA,Advocate
virgo,Europe,NA,Politician
sagittarius,North America,Christian,Mechanical engineering
leo,Europe,Christian,Sociology
gemini,NA,NA,Unlicensed assistive personnel
sagittarius,NA,NA,Curator
gemini,Europe,NA,Political science
cancer,Europe,NA,Politician
cancer,Europe,NA,Workforce
libra,NA,NA,Teacher
capricorn,Asia,Buddhist,Professor
sagittarius,Asia,NA,Political science
sagittarius,NA,NA,Physician
aries,NA,NA,General officer
pisces,Asia,NA,Farmer
pisces,Asia,NA,Teacher
pisces,Asia,NA,Social work
aquarius,Asia,Buddhist,Politician
aquarius,Asia,Buddhist,Accountant
gemini,NA,Christian,Attorneys in the United States
capricorn,NA,NA,Politician
scorpio,NA,Christian,Printer (publishing)
sagittarius,NA,Christian,Lawyer
sagittarius,NA,Christian,Professor
capricorn,NA,Christian,Lawyer
capricorn,NA,Christian,Diplomat
leo,Asia,Hindu,Lawyer
NA,Africa,Christian,Chartered accountant
NA,NA,Christian,Barrister
NA,NA,Christian,Evangelism
cancer,Africa,Christian,Physician
libra,NA,NA,Attorneys in the United States
NA,Africa,NA,Lawyer
NA,Africa,NA,Academia
capricorn,North America,Christian,Anesthesiologist
NA,NA,NA,University of North Dakota School of Law
cancer,NA,NA,Jurist
cancer,NA,NA,Politician
scorpio,NA,NA,Politician
scorpio,NA,NA,Jurist
scorpio,NA,NA,Politician
libra,Europe,NA,Engineer
libra,Europe,NA,Politician
taurus,NA,NA,Politician
taurus,NA,NA,Teacher
libra,NA,NA,Politician
taurus,NA,NA,Politician
taurus,NA,NA,Economist
taurus,Europe,NA,Politician
pisces,NA,NA,Chemical engineer
pisces,NA,NA,Carpentry
aquarius,NA,NA,Education
aquarius,NA,NA,Advocate
cancer,NA,NA,Author
cancer,NA,NA,Professor
capricorn,NA,Hindu,Nationalism
capricorn,NA,Hindu,Resistance movement
capricorn,NA,Hindu,Activism
capricorn,NA,Hindu,Nationalism
capricorn,NA,Hindu,Resistance movement
capricorn,NA,Hindu,Activism
NA,NA,NA,Politician
taurus,NA,NA,Lawyer
NA,NA,Hindu,Politician
capricorn,NA,NA,Politician
scorpio,NA,NA,Advocate
aries,Asia,Muslim,Politician
aries,Asia,Muslim,Chartered accountant
virgo,NA,NA,Politician
NA,NA,Hindu,Lawyer
NA,NA,Hindu,Resistance movement
NA,NA,Hindu,Activism
taurus,North America,Christian,Westinghouse Electric (1886)
taurus,North America,Christian,Author
taurus,North America,Christian,Sports equipment
scorpio,South America,Christian,Economist
virgo,South America,NA,Economist
virgo,South America,NA,Accountant
taurus,South America,Christian,Lawyer
cancer,South America,Christian,Lawyer
libra,Asia,NA,Businessperson
pisces,Asia,NA,Prosecutor
scorpio,NA,Christian,Lawyer
sagittarius,Asia,Christian,Dance
sagittarius,Asia,Christian,Model (people)
sagittarius,Asia,Christian,Politician
sagittarius,Asia,Christian,Actor
NA,Europe,Christian,Lawyer
NA,Europe,Christian,Notary public
NA,North America,NA,Texas Senate
NA,North America,NA,Merchant
sagittarius,NA,Christian,Soldier
taurus,NA,Christian,Merchant
cancer,NA,NA,Neurology
aries,NA,NA,Lawyer
gemini,NA,NA,Sociology
capricorn,NA,Christian,Writer
capricorn,NA,Christian,Journalist
capricorn,NA,Christian,Publishing
aquarius,NA,Christian,Journalist
virgo,Europe,NA,Officer (armed forces)
aries,NA,Christian,Economist
aries,NA,Christian,Teacher
libra,Europe,NA,Politician
libra,Europe,NA,Royal Academy of Italy
libra,Europe,NA,Philosopher
libra,Europe,NA,Politician
sagittarius,NA,NA,Criminal defense lawyer
sagittarius,NA,Christian,Priest
sagittarius,NA,Christian,Politician
libra,NA,NA,Politician
aquarius,NA,NA,Business magnate
capricorn,NA,NA,Radio personality
cancer,NA,Christian,Lawyer
NA,Europe,NA,Artillery
pisces,NA,NA,Lawyer
aries,South America,Christian,Lawyer
cancer,NA,Christian,Soldier
cancer,NA,Christian,Politician
cancer,NA,Christian,Exploration
scorpio,South America,Christian,Lawyer
leo,NA,Christian,Civil engineering
sagittarius,South America,NA,Lawyer
aquarius,South America,Christian,Psychiatrist
cancer,NA,NA,Politician
NA,NA,NA,Politician
aquarius,North America,NA,Politician
aquarius,North America,NA,Economist
aries,NA,NA,Economist
scorpio,South America,Christian,Lawyer
NA,NA,NA,Lawyer
NA,NA,NA,Politician
leo,South America,Christian,Civil engineer
NA,South America,Christian,Accountant
sagittarius,NA,Christian,Paramedic
sagittarius,NA,Christian,Firefighter
leo,South America,NA,Bolivian Army
NA,South America,Christian,Business administration
gemini,South America,Christian,Lawyer
gemini,South America,Christian,Economist
aries,NA,NA,Lawyer
cancer,South America,Christian,Industrial engineering
virgo,NA,NA,Soldier
libra,NA,Christian,Physician
taurus,North America,NA,Trade union
taurus,North America,NA,Lobbying
taurus,North America,NA,Dispatcher
taurus,North America,NA,Supervisor
taurus,North America,NA,Facilitator
taurus,North America,NA,Public transport
sagittarius,South America,Christian,Sociology
leo,NA,NA,Lawyer
leo,NA,NA,Diplomat
NA,NA,NA,Senate
NA,NA,NA,Politician
taurus,South America,NA,Politician
aquarius,North America,NA,Lawyer
gemini,NA,Christian,Businessperson
taurus,Europe,Christian,Priest
aries,NA,NA,Lawyer
taurus,NA,NA,Senate
taurus,NA,NA,Judge
taurus,NA,NA,Politician
capricorn,South America,NA,Lawyer
libra,NA,Christian,Politician
cancer,South America,NA,Politician
cancer,South America,NA,Diplomat
aquarius,South America,Christian,Politician
aquarius,South America,Christian,Investigative journalism
aquarius,South America,Christian,Radio personality
sagittarius,South America,NA,Politician
aries,NA,NA,Attorneys in the United States
cancer,NA,NA,Politician
cancer,NA,NA,Attorney at law
virgo,North America,NA,Civil service
gemini,NA,Christian,Pastor
scorpio,North America,Christian,Lawyer
virgo,North America,NA,Lawyer
virgo,North America,NA,Politician
NA,NA,Christian,Politician
NA,South America,Christian,Geologist
scorpio,NA,NA,Politician
aries,NA,NA,Lawyer
aries,NA,NA,Politician
capricorn,South America,NA,Military engineering
scorpio,Europe,NA,Lawyer
NA,NA,Christian,Knight
libra,NA,Christian,Teacher
taurus,NA,Christian,Teacher
gemini,NA,Christian,Legislator
aries,NA,NA,List of Governors of Georgia
cancer,North America,Christian,Politician
cancer,North America,Christian,Bank
aries,NA,NA,Teacher
aries,NA,NA,Legislator
libra,NA,NA,Politician
capricorn,NA,Christian,Farmer
capricorn,NA,Christian,Teacher
leo,North America,Christian,Lawyer
NA,NA,NA,Politician
NA,NA,NA,Environmentalism
NA,NA,NA,Community organizing
sagittarius,North America,Christian,Lawyer
aries,NA,NA,Student
aries,NA,NA,Community organizing
scorpio,NA,NA,Politician
sagittarius,Europe,NA,Politician
sagittarius,Europe,NA,Diplomat
gemini,NA,NA,Politician
gemini,NA,NA,Economist
taurus,NA,NA,Politician
scorpio,NA,NA,Jurist
scorpio,NA,NA,Politician
aries,NA,Christian,Lawyer
aries,NA,Christian,Diplomat
leo,NA,NA,Civil law notary
cancer,NA,NA,Diplomat
virgo,NA,NA,Diplomacy
virgo,NA,NA,Diplomatic rank
aquarius,NA,Christian,Astronomer
aquarius,NA,Christian,Philosopher
aquarius,NA,Christian,Politician
aquarius,NA,Christian,Linguistics
scorpio,Asia,Hindu,Lawyer
scorpio,Asia,Hindu,Activism
virgo,NA,NA,Lawyer
virgo,NA,NA,Head teacher
scorpio,North America,Christian,Lawyer
scorpio,North America,Christian,Politician
scorpio,North America,Christian,Bank
gemini,NA,NA,Medicine
cancer,NA,NA,Politician
capricorn,NA,NA,Lawyer
